account_id,signup_date,period,period_start,period_end,active_days,usage_count,usage_hours,errors,features_used,tickets_opened,escalations,avg_satisfaction,subscription_id_asof_period_end,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,end_date_inferred,account_churn_event_count_in_period,account_churn_event_in_period,account_churn_event_count_in_next_period,account_churn_event_in_next_period,subscription_ends_in_period,subscription_end_in_period,subscription_ends_in_next_period,subscription_end_in_next_period,active_sub_at_period_end,days_to_contract_end_asof_period_end,satisfaction_missing_flag,usage_count_mom_delta,usage_hours_mom_delta,active_days_mom_delta,errors_mom_delta,features_used_mom_delta,tickets_opened_mom_delta,escalations_mom_delta,seats_mom_delta,mrr_amount_mom_delta,arr_amount_mom_delta,usage_count_roll3_mean,usage_count_vs_roll3_mean,usage_count_roll3_change,usage_hours_roll3_mean,usage_hours_vs_roll3_mean,usage_hours_roll3_change,tickets_opened_roll3_mean,tickets_opened_vs_roll3_mean,tickets_opened_roll3_change,errors_roll3_mean,errors_vs_roll3_mean,errors_roll3_change,features_used_roll3_mean,features_used_vs_roll3_mean,features_used_roll3_change,mrr_amount_roll3_mean,mrr_amount_vs_roll3_mean,mrr_amount_roll3_change,seats_roll3_mean,seats_vs_roll3_mean,seats_roll3_change,usage_drop_flag,tickets_spike_flag,downsell_flag
A-00bed1,2023-11-14,2024-12,2024-12-01,2024-12-31,1.0,13.0,0.325,0.0,1.0,0.0,0.0,,S-289702,Enterprise,28.0,5572.0,66864.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-5.0,-0.8875,-1.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,-4.333333333333332,-8.0,1.1587037037037036,-0.8337037037037036,-1.613611111111111,0.0,0.0,0.0,1.3333333333333333,-1.3333333333333333,0.0,1.6666666666666667,-0.6666666666666667,-1.0,5572.0,0.0,0.0,28.0,0.0,0.0,1,0,0
A-00cac8,2023-09-15,2024-12,2024-12-01,2024-12-31,2.0,28.0,1.8597222222222223,1.0,2.0,0.0,0.0,,S-c0ca82,Pro,19.0,931.0,11172.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,28.0,1.8597222222222223,2.0,1.0,2.0,0.0,0.0,-1.0,-3049.0,-36588.0,15.666666666666666,12.333333333333334,9.0,0.9848148148148148,0.8749074074074075,0.7650000000000001,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,1.0,1.3333333333333333,0.6666666666666667,0.0,2963.6666666666665,-2032.6666666666665,-3049.0,19.666666666666668,-0.6666666666666679,-1.0,0,0,1
A-0158bb,2024-05-22,2024-12,2024-12-01,2024-12-31,2.0,18.0,1.265,0.0,2.0,0.0,0.0,,S-fb9972,Pro,45.0,2205.0,26460.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,11.0,0.858611111111111,1.0,0.0,1.0,0.0,0.0,25.0,2205.0,26460.0,8.333333333333334,9.666666666666666,18.0,0.5571296296296296,0.7078703703703703,1.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,735.0,1470.0,2205.0,28.333333333333332,16.666666666666668,25.0,0,0,0
A-016043,2024-07-31,2024-12,2024-12-01,2024-12-31,2.0,24.0,1.3966666666666667,2.0,2.0,1.0,0.0,,S-8985d3,Basic,26.0,494.0,5928.0,monthly,,0.0,False,0.0,False,1.0,True,0.0,False,True,,1,24.0,1.3966666666666667,2.0,2.0,2.0,1.0,0.0,15.0,285.0,3420.0,21.0,3.0,-15.0,0.6346296296296297,0.7620370370370371,0.8894444444444445,0.3333333333333333,0.6666666666666667,1.0,1.0,1.0,1.0,1.6666666666666667,0.33333333333333326,-1.0,675.3333333333334,-181.33333333333337,-829.0,21.333333333333332,4.666666666666668,-1.0,0,1,0
A-019782,2023-04-19,2024-12,2024-12-01,2024-12-31,3.0,28.0,1.845,4.0,2.0,1.0,0.0,3.0,S-2fd650,Enterprise,15.0,0.0,0.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,15.0,0.42055555555555557,1.0,3.0,0.0,1.0,0.0,1.0,-266.0,-3192.0,21.333333333333332,6.666666666666668,5.0,1.3537962962962962,0.4912037037037038,1.0530555555555554,0.3333333333333333,0.6666666666666667,1.0,2.0,2.0,3.0,2.0,0.0,0.0,177.33333333333334,-177.33333333333334,-266.0,14.333333333333334,0.6666666666666661,1.0,0,1,1
A-029f69,2024-03-07,2024-12,2024-12-01,2024-12-31,2.0,22.0,1.8394444444444444,5.0,2.0,0.0,0.0,,S-21c164,Basic,34.0,646.0,7752.0,annual,,1.0,True,0.0,False,0.0,False,0.0,False,True,,0,17.0,1.8144444444444445,1.0,5.0,1.0,0.0,0.0,31.0,499.0,5988.0,12.666666666666666,9.333333333333334,11.0,0.7701851851851851,1.0692592592592594,1.3933333333333333,0.0,0.0,0.0,2.6666666666666665,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666667,1.0,264.3333333333333,381.6666666666667,646.0,13.333333333333334,20.666666666666664,31.0,0,0,0
A-02cd81,2024-03-28,2024-12,2024-12-01,2024-12-31,2.0,14.0,0.7083333333333334,2.0,2.0,0.0,0.0,,S-4da459,Pro,44.0,2156.0,25872.0,annual,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-5.0,-1.1441666666666666,0.0,1.0,0.0,0.0,0.0,0.0,2156.0,25872.0,20.0,-6.0,-13.0,1.856111111111111,-1.1477777777777778,-2.2991666666666664,0.0,0.0,0.0,2.0,0.0,-1.0,2.3333333333333335,-0.3333333333333335,-1.0,718.6666666666666,1437.3333333333335,2156.0,44.0,0.0,0.0,1,0,0
A-02fac6,2023-04-06,2024-12,2024-12-01,2024-12-31,5.0,44.0,3.5994444444444444,0.0,6.0,0.0,0.0,,S-a408fe,Pro,22.0,1078.0,12936.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-2.0,-1.0966666666666662,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.666666666666664,6.333333333333336,21.0,3.62212962962963,-0.022685185185185475,1.0286111111111111,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,4.0,2.0,4.0,1078.0,0.0,0.0,22.0,0.0,0.0,0,0,0
A-034368,2023-11-05,2024-12,2024-12-01,2024-12-31,1.0,7.0,0.6708333333333333,0.0,1.0,0.0,0.0,,S-cc80ee,Enterprise,23.0,4577.0,54924.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,-8.0,-0.9833333333333333,0.0,-5.0,0.0,0.0,0.0,-6.0,4026.0,48312.0,10.0,-3.0,-1.0,1.009074074074074,-0.33824074074074073,-0.03138888888888891,0.0,0.0,0.0,1.6666666666666667,-1.6666666666666667,0.0,1.0,0.0,0.0,3566.6666666666665,1010.3333333333335,-995.0,26.666666666666668,-3.666666666666668,-5.0,1,0,1
A-0354fe,2024-10-22,2024-12,2024-12-01,2024-12-31,3.0,41.0,3.9591666666666665,3.0,3.0,0.0,0.0,,S-9ea111,Enterprise,34.0,6766.0,81192.0,monthly,,0.0,False,0.0,False,0.0,False,0.0,False,True,,0,24.0,2.7288888888888887,1.0,3.0,1.0,-2.0,0.0,0.0,6120.0,73440.0,21.333333333333332,19.666666666666668,35.0,1.9803703703703703,1.9787962962962962,3.2074999999999996,0.6666666666666666,-0.6666666666666666,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2470.6666666666665,4295.333333333334,6766.0,22.666666666666668,11.333333333333332,34.0,0,0,0
