account_id,signup_date,quarter,quarter_start,quarter_end,active_days,usage_count,usage_hours,errors,features_used,tickets_opened,escalations,avg_satisfaction,subscription_id_asof_qend,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,end_date_inferred,account_churn_event_count_in_quarter,account_churn_event_in_quarter,account_churn_event_count_in_next_quarter,account_churn_event_in_next_quarter,account_churn_event_in_second_next_quarter,subscription_ends_in_quarter,subscription_end_in_quarter,subscription_ends_in_next_quarter,subscription_end_in_next_quarter,churn_label_q1_rolling,churn_label_q2_rolling,active_sub_at_qend,days_to_contract_end_asof_qend,satisfaction_missing_flag,usage_count_qoq_delta,usage_hours_qoq_delta,active_days_qoq_delta,errors_qoq_delta,features_used_qoq_delta,tickets_opened_qoq_delta,escalations_qoq_delta,seats_qoq_delta,mrr_amount_qoq_delta,arr_amount_qoq_delta,usage_count_roll4_mean,usage_count_vs_roll4_mean,usage_count_roll4_change,usage_hours_roll4_mean,usage_hours_vs_roll4_mean,usage_hours_roll4_change,tickets_opened_roll4_mean,tickets_opened_vs_roll4_mean,tickets_opened_roll4_change,errors_roll4_mean,errors_vs_roll4_mean,errors_roll4_change,features_used_roll4_mean,features_used_vs_roll4_mean,features_used_roll4_change,mrr_amount_roll4_mean,mrr_amount_vs_roll4_mean,mrr_amount_roll4_change,seats_roll4_mean,seats_vs_roll4_mean,seats_roll4_change,usage_drop_flag,tickets_spike_flag,downsell_flag,label_available_q1,label_available_q2
A-00bed1,2023-11-14,2024Q4,2024-10-01,2024-12-31,5.0,52.0,3.476111111111111,4.0,4.0,0.0,0.0,,S-289702,Enterprise,28.0,5572.0,66864.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-48.0,-3.8355555555555556,-4.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,69.5,-17.5,-11.0,6.098333333333334,-2.6222222222222227,-3.280555555555556,0.5,-0.5,-1.0,4.75,-0.75,3.0,6.25,-2.25,-2.0,5513.5,58.5,4413.0,41.5,-13.5,-33.0,1,0,0,False,False
A-00cac8,2023-09-15,2024Q4,2024-10-01,2024-12-31,4.0,47.0,2.9544444444444444,1.0,4.0,0.0,0.0,,S-c0ca82,Pro,19.0,931.0,11172.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,6.0,-2.789722222222222,0.0,-1.0,0.0,0.0,0.0,11.0,539.0,6468.0,70.0,-23.0,-50.0,5.00423611111111,-2.049791666666666,-2.6863888888888887,0.0,0.0,0.0,3.75,-2.75,-1.0,6.25,-2.25,-5.0,368.75,562.25,779.0,11.0,8.0,11.0,0,0,0,False,False
A-0158bb,2024-05-22,2024Q4,2024-10-01,2024-12-31,3.0,25.0,1.6713888888888888,0.0,3.0,0.0,0.0,,S-fb9972,Pro,45.0,2205.0,26460.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-42.0,-4.24,-4.0,-4.0,-4.0,0.0,0.0,36.0,2034.0,24408.0,33.0,-8.0,,2.742777777777778,-1.0713888888888892,,0.0,0.0,,1.3333333333333333,-1.3333333333333333,,3.6666666666666665,-0.6666666666666665,,849.0,1356.0,,21.0,24.0,,1,0,0,False,False
A-016043,2024-07-31,2024Q4,2024-10-01,2024-12-31,5.0,63.0,1.903888888888889,3.0,5.0,1.0,0.0,,S-8985d3,Basic,26.0,494.0,5928.0,monthly,,0.0,False,0.0,,,1.0,True,0.0,False,,,True,,1,23.0,0.3566666666666667,1.0,0.0,1.0,1.0,0.0,14.0,494.0,5928.0,51.5,11.5,,1.7255555555555557,0.17833333333333323,,0.5,0.5,,3.0,0.0,,4.5,0.5,,247.0,247.0,,19.0,7.0,,0,1,0,False,False
A-019782,2023-04-19,2024Q4,2024-10-01,2024-12-31,7.0,64.0,4.061388888888889,6.0,6.0,1.0,0.0,3.0,S-2fd650,Enterprise,15.0,0.0,0.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-46.0,-6.128055555555555,-3.0,2.0,-4.0,0.0,0.0,1.0,-266.0,-3192.0,75.25,-11.25,-3.0,6.754513888888889,-2.693125,-1.9750000000000005,0.5,0.5,1.0,4.25,1.75,3.0,7.0,-1.0,-2.0,133.0,-133.0,0.0,13.5,1.5,4.0,1,0,1,False,False
A-029f69,2024-03-07,2024Q4,2024-10-01,2024-12-31,4.0,38.0,2.3105555555555557,8.0,4.0,0.0,0.0,,S-21c164,Basic,34.0,646.0,7752.0,annual,,2.0,True,0.0,,,1.0,True,0.0,False,,,True,,0,-71.0,-7.68,-8.0,3.0,-6.0,0.0,0.0,34.0,646.0,7752.0,81.25,-43.25,-71.0,6.964097222222223,-4.653541666666667,-8.014166666666666,0.25,-0.25,0.0,6.25,1.75,-2.0,8.0,-4.0,-7.0,1355.5,-709.5,646.0,14.5,19.5,34.0,1,0,0,False,False
A-02cd81,2024-03-28,2024Q4,2024-10-01,2024-12-31,7.0,60.0,5.568333333333333,6.0,7.0,0.0,0.0,,S-4da459,Pro,44.0,2156.0,25872.0,annual,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-79.0,-5.394166666666667,-6.0,1.0,-6.0,-1.0,-1.0,0.0,2156.0,25872.0,95.25,-35.25,-41.0,8.255347222222223,-2.68701388888889,-3.59,0.75,-0.75,-2.0,4.25,1.75,2.0,9.0,-2.0,-1.0,1287.0,869.0,1320.0,44.0,0.0,0.0,1,0,0,False,False
A-02fac6,2023-04-06,2024Q4,2024-10-01,2024-12-31,11.0,113.0,10.866388888888888,2.0,11.0,0.0,0.0,,S-a408fe,Pro,22.0,1078.0,12936.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,67.0,6.849166666666666,7.0,1.0,7.0,0.0,0.0,0.0,660.0,7920.0,66.25,46.75,51.0,6.022708333333333,4.843680555555555,5.048333333333333,0.5,-0.5,-1.0,2.75,-0.75,-5.0,6.5,4.5,4.0,1366.25,-288.25,0.0,31.25,-9.25,0.0,0,0,0,False,False
A-034368,2023-11-05,2024Q4,2024-10-01,2024-12-31,3.0,30.0,3.027222222222222,5.0,3.0,0.0,0.0,,S-cc80ee,Enterprise,23.0,4577.0,54924.0,monthly,,0.0,False,0.0,,,0.0,False,0.0,False,,,True,,0,-32.0,-1.826944444444445,-3.0,1.0,-3.0,0.0,0.0,-3.0,4083.0,48996.0,28.75,1.25,30.0,2.63125,0.39597222222222195,3.027222222222222,0.25,-0.25,0.0,3.25,1.75,5.0,3.0,0.0,3.0,1391.25,3185.75,4577.0,23.5,-0.5,4.0,0,0,1,False,False
A-0354fe,2024-10-22,2024Q4,2024-10-01,2024-12-31,6.0,64.0,5.941111111111111,3.0,5.0,2.0,0.0,3.0,S-9ea111,Enterprise,34.0,6766.0,81192.0,monthly,,2.0,True,0.0,,,1.0,True,0.0,False,,,True,,0,,,,,,,,,,,64.0,0.0,,5.941111111111111,0.0,,2.0,0.0,,3.0,0.0,,5.0,0.0,,6766.0,0.0,,34.0,0.0,,0,0,0,False,False
