account_id,churn_probability_q1,churn_prob_q1,churn_prob_q2,churn_prob_q3,churn_prob_q4,churn_date_window,churn_prob_within_2q,churn_prob_within_4q,risk_score,risk_tier,risk_type,predicted_churn_quarter,top_drivers,recommended_action
A-00bed1,0.5335080681311444,0.5335080681311444,0.782385277501263,0.8984844876984592,0.9526438325517976,0-90 days,0.782385277501263,0.9526438325517976,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-00cac8,0.5168547316849759,0.5168547316849759,0.7665706497048034,0.8872197139190254,0.9455107384207624,0-90 days,0.7665706497048034,0.9455107384207624,52,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0158bb,0.5596631520094703,0.5596631520094703,0.8061034603017652,0.9146202088730087,0.9624041318930509,0-90 days,0.8061034603017652,0.9624041318930509,56,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-016043,0.5782505330434714,0.5782505330434714,0.8221273871218839,0.9249823203324896,0.9683613335879119,0-90 days,0.8221273871218839,0.9683613335879119,58,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-019782,0.5031887319280876,0.5031887319280876,0.7531785639167783,0.8773763293521641,0.9390791786898162,0-90 days,0.7531785639167783,0.9390791786898162,50,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-029f69,0.5474453909990097,0.5474453909990097,0.7951943258719608,0.907314248223801,0.9580546358449594,0-90 days,0.7951943258719608,0.9580546358449594,55,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-02cd81,0.544075357137622,0.544075357137622,0.792132720030813,0.9052281846172745,0.9567911939182117,0-90 days,0.792132720030813,0.9567911939182117,54,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-02fac6,0.5011046519798467,0.5011046519798467,0.7511034317238501,0.8758266599488483,0.9380504983003558,0-90 days,0.7511034317238501,0.9380504983003558,50,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-034368,0.5243496005721754,0.5243496005721754,0.7737566975241509,0.8923872828094922,0.9488139680848214,0-90 days,0.7737566975241509,0.9488139680848214,52,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0354fe,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-038089,0.5372456155504248,0.5372456155504248,0.7858583796726948,0.9009050263004033,0.9541433664435962,0-90 days,0.7858583796726948,0.9541433664435962,54,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-039727,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0532a9,0.5780836625977406,0.5780836625977406,0.8219866042330628,0.9248932400494749,0.9683112309275238,0-90 days,0.8219866042330628,0.9683112309275238,58,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-054577,0.559760769168564,0.559760769168564,0.8061894196369456,0.9146769791739747,0.9624374589393361,0-90 days,0.8061894196369456,0.9624374589393361,56,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-05d3b3,0.4940805860362542,0.4940805860362542,0.7440455465745801,0.8705076729216007,0.9344873177716946,0-90 days,0.7440455465745801,0.9344873177716946,49,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-05f0e5,0.4997227417871712,0.4997227417871712,0.7497226649150547,0.8747919410108902,0.9373612555427779,0-90 days,0.7497226649150547,0.9373612555427779,50,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0651a4,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-068fc6,0.5219200733587785,0.5219200733587785,0.7714395837427244,0.8907298529626346,0.9477601361203009,0-90 days,0.7714395837427244,0.9477601361203009,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-075038,0.508407288835535,0.508407288835535,0.7583366063299709,0.8812000371165449,0.9415988041598845,0-90 days,0.7583366063299709,0.9415988041598845,51,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-089363,0.5070684610924947,0.5070684610924947,0.7570184979502785,0.8802267542685737,0.9409599896616613,0-90 days,0.7570184979502785,0.9409599896616613,51,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-08e34e,0.5595167176214783,0.5595167176214783,0.8059744779450435,0.9145350011800265,0.9623540967913016,0-90 days,0.8059744779450435,0.9623540967913016,56,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-09316c,0.5793347538092126,0.5793347538092126,0.8230407506472442,0.9255593938052861,0.9686854240685092,0-90 days,0.8230407506472442,0.9686854240685092,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-09540c,0.5290019273784163,0.5290019273784163,0.7781608155867534,0.8955141717094168,0.9507873762588656,0-90 days,0.7781608155867534,0.9507873762588656,53,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-098560,0.532022282172146,0.532022282172146,0.7809968556166335,0.8975114082943481,0.9520376227501983,0-90 days,0.7809968556166335,0.9520376227501983,53,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0a282f,0.581737486373759,0.581737486373759,0.8250564696950585,0.9268276792720067,0.969394761204444,0-90 days,0.8250564696950585,0.969394761204444,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0a62f5,0.5852665507249439,0.5852665507249439,0.8279961660524144,0.9286642566583839,0.9704146811073314,0-90 days,0.8279961660524144,0.9704146811073314,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0aaf6e,0.5562259193132408,0.5562259193132408,0.8030645653106218,0.9126051585160739,0.9612164345637056,0-90 days,0.8030645653106218,0.9612164345637056,56,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0b0d6d,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0baac2,0.564170783125366,0.564170783125366,0.8100528937184432,0.9172155014217063,0.9639200968152629,0-90 days,0.8100528937184432,0.9639200968152629,56,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0be015,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0cc442,0.5828235880408358,0.5828235880408358,0.8259638413048778,0.9273962197644132,0.9697114154666462,0-90 days,0.8259638413048778,0.9697114154666462,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0dbdc6,0.4852354461053514,0.4852354461053514,0.7350174540536434,0.8635963779460556,0.929784250343787,0-90 days,0.7350174540536434,0.929784250343787,49,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0e966d,0.5655803231020663,0.5655803231020663,0.8112795443238949,0.9180161206211556,0.9643845896094032,0-90 days,0.8112795443238949,0.9643845896094032,57,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0f3e88,0.5187923423963197,0.5187923423963197,0.7684391902635792,0.8885711651539254,0.9463795913942131,0-90 days,0.7684391902635792,0.9463795913942131,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0f6450,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0f7d77,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-104f1a,0.5779167743208994,0.5779167743208994,0.8218457506003254,0.9248040797449464,0.9682610634208385,0-90 days,0.8218457506003254,0.9682610634208385,58,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-10b8da,0.5025900734956814,0.5025900734956814,0.7525833650149684,0.8769325097761496,0.9387850087326837,0-90 days,0.7525833650149684,0.9387850087326837,50,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-10b8f2,0.4818204005936149,0.4818204005936149,0.7314899027590382,0.8608635453751089,0.9279023276796492,0-90 days,0.7314899027590382,0.9279023276796492,48,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-117171,0.5793347538092126,0.5793347538092126,0.8230407506472442,0.9255593938052861,0.9686854240685092,0-90 days,0.8230407506472442,0.9686854240685092,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-118d55,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-118f1c,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-13466a,0.5335080681311444,0.5335080681311444,0.782385277501263,0.8984844876984592,0.9526438325517976,0-90 days,0.782385277501263,0.9526438325517976,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-139c3b,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-149a69,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-151c9a,0.48710881895318653,0.48710881895318653,0.7369426364044047,0.8650801981023941,0.9308008234581348,0-90 days,0.7369426364044047,0.9308008234581348,49,Medium,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-157070,0.5346572970149316,0.5346572970149316,0.7834561687785504,0.8992329082646682,0.9531087691599364,0-90 days,0.7834561687785504,0.9531087691599364,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-158f4e,0.4624643460549092,0.4624643460549092,0.7110554207378235,0.8446819866324169,0.9165110301150038,0-90 days,0.7110554207378235,0.9165110301150038,46,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-1619f8,0.564170783125366,0.564170783125366,0.8100528937184432,0.9172155014217063,0.9639200968152629,0-90 days,0.8100528937184432,0.9639200968152629,56,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-17939a,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-180abf,0.5137494761797697,0.5137494761797697,0.7635604280845517,0.8850311343042823,0.9440963288324395,0-90 days,0.7635604280845517,0.9440963288324395,51,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-186a44,0.5189204481863275,0.5189204481863275,0.768562464826756,0.8886601343059948,0.9464366673129334,0-90 days,0.768562464826756,0.9464366673129334,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-18793f,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1986ca,0.48710881895318653,0.48710881895318653,0.7369426364044047,0.8650801981023941,0.9308008234581348,0-90 days,0.7369426364044047,0.9308008234581348,49,Medium,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-19b2c8,0.493632770142534,0.493632770142534,0.7435922285264762,0.8701635070450255,0.9342550547279812,0-90 days,0.7435922285264762,0.9342550547279812,49,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-1ac5e0,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1b707d,0.5180663634098971,0.5180663634098971,0.7677399699230386,0.8880660790704833,0.946055278428649,0-90 days,0.7677399699230386,0.946055278428649,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1b7577,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1b9609,0.534231698932848,0.534231698932848,0.7830598897210189,0.8989561734020384,0.9529369885521435,0-90 days,0.7830598897210189,0.9529369885521435,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1d5444,0.5488858313743812,0.5488858313743812,0.7964960068652167,0.9081964653250086,0.958586124778198,0-90 days,0.7964960068652167,0.958586124778198,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1e1b80,0.5159307004480121,0.5159307004480121,0.7656769132312479,0.8865713875189905,0.9450926910071639,0-90 days,0.7656769132312479,0.9450926910071639,52,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-1e50e0,0.48710881895318653,0.48710881895318653,0.7369426364044047,0.8650801981023941,0.9308008234581348,0-90 days,0.7369426364044047,0.9308008234581348,49,Medium,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1e6fc3,0.5330621694635854,0.5330621694635854,0.7819690624139466,0.8981931070137478,0.9524625102553465,0-90 days,0.7819690624139466,0.9524625102553465,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1f0636,0.5193062610119262,0.5193062610119262,0.7689335292976656,0.8889277942433167,0.9466082861171672,0-90 days,0.7689335292976656,0.9466082861171672,52,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-1f0ac7,0.515422548854918,0.515422548854918,0.7651846938417357,0.8862137974519761,0.9448617719938006,0-90 days,0.7651846938417357,0.9448617719938006,52,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-1f559b,0.5179382414654475,0.5179382414654475,0.7676164609585748,0.8879767825152077,0.9459978907825825,0-90 days,0.7676164609585748,0.9459978907825825,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-1f7acb,0.5180663634098971,0.5180663634098971,0.7677399699230386,0.8880660790704833,0.946055278428649,0-90 days,0.7677399699230386,0.946055278428649,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-202b67,0.5371981345412254,0.5371981345412254,0.7858144333278784,0.9008745201897974,0.9541245430293421,0-90 days,0.7858144333278784,0.9541245430293421,54,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-20736a,0.5488858313743812,0.5488858313743812,0.7964960068652167,0.9081964653250086,0.958586124778198,0-90 days,0.7964960068652167,0.958586124778198,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-22d9d2,0.5521605246308574,0.5521605246308574,0.7994398043010911,0.9101812271782681,0.9597756079012154,0-90 days,0.7994398043010911,0.9597756079012154,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-22f2df,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-241e75,0.5805234436960812,0.5805234436960812,0.8240394187114053,0.9261886613158246,0.9690378738325799,0-90 days,0.8240394187114053,0.9690378738325799,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2446e3,0.5488858313743812,0.5488858313743812,0.7964960068652167,0.9081964653250086,0.958586124778198,0-90 days,0.7964960068652167,0.958586124778198,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-249769,0.5647595097032156,0.5647595097032156,0.8105657156062147,0.9175505291814284,0.9641146518962145,0-90 days,0.8105657156062147,0.9641146518962145,56,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-271f46,0.4681714004178414,0.4681714004178414,0.7171583406664801,0.8495767164131601,0.9200005957454611,0-90 days,0.7171583406664801,0.9200005957454611,47,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2789e3,0.5807097774852312,0.5807097774852312,0.8241957093035157,0.92628697983482,0.9690928513727061,0-90 days,0.8241957093035157,0.9690928513727061,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2922b6,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-296d7c,0.5346057799192029,0.5346057799192029,0.7834082199153866,0.8991994374316098,0.9530880007997784,0-90 days,0.7834082199153866,0.9530880007997784,53,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-297a2d,0.49165261105596525,0.49165261105596525,0.7415829321537822,0.8686343583018017,0.9332206190457633,0-90 days,0.7415829321537822,0.9332206190457633,49,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2b9d3e,0.5028916543432789,0.5028916543432789,0.7528832926784379,0.8771562224392421,0.9389333329625494,0-90 days,0.7528832926784379,0.9389333329625494,50,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2bc93d,0.4844911568802539,0.4844911568802539,0.7342506326653411,0.8630038510855055,0.9293772737612285,0-90 days,0.7342506326653411,0.9293772737612285,48,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2d1036,0.564170783125366,0.564170783125366,0.8100528937184432,0.9172155014217063,0.9639200968152629,0-90 days,0.8100528937184432,0.9639200968152629,56,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2d4502,0.5491394655436171,0.5491394655436171,0.7967247784697048,0.9083512249791115,0.9586791843118094,0-90 days,0.7967247784697048,0.9586791843118094,55,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2e3bad,0.5452708088126176,0.5452708088126176,0.793221362682069,0.9059717174975881,0.9572425951489396,0-90 days,0.793221362682069,0.9572425951489396,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2e4581,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-2ebb4b,0.49806850815231385,0.49806850815231385,0.7480647774915562,0.873545777917358,0.9365286436596209,0-90 days,0.7480647774915562,0.9365286436596209,50,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2edab2,0.5323652072278354,0.5323652072278354,0.7813177005889347,0.897736548231966,0.9521780519242892,0-90 days,0.7813177005889347,0.9521780519242892,53,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-2f6a32,0.5793347538092126,0.5793347538092126,0.8230407506472442,0.9255593938052861,0.9686854240685092,0-90 days,0.8230407506472442,0.9686854240685092,58,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-309e54,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-30b4ca,0.564170783125366,0.564170783125366,0.8100528937184432,0.9172155014217063,0.9639200968152629,0-90 days,0.8100528937184432,0.9639200968152629,56,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-310452,0.5943504773076195,0.5943504773076195,0.8354484647394439,0.933249748263257,0.972922792243394,0-90 days,0.8354484647394439,0.972922792243394,59,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-313be3,0.5283446495358444,0.5283446495358444,0.7775412303785345,0.8950761310503629,0.9505120958185037,0-90 days,0.7775412303785345,0.9505120958185037,53,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-31ab9a,0.5426681044048458,0.5426681044048458,0.790847537271343,0.9043479077519084,0.9562552473345377,0-90 days,0.790847537271343,0.9562552473345377,54,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-32728c,0.48710881895318653,0.48710881895318653,0.7369426364044047,0.8650801981023941,0.9308008234581348,0-90 days,0.7369426364044047,0.9308008234581348,49,Medium,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-328bd0,0.5013747308377672,0.5013747308377672,0.7513728409528908,0.876028215899094,0.9381845357841635,0-90 days,0.7513728409528908,0.9381845357841635,50,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-32fb14,0.4765899493907619,0.4765899493907619,0.7260419189212348,0.8566075869177538,0.9249469698116407,0-90 days,0.7260419189212348,0.9249469698116407,48,Medium,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-331424,0.5384092652700778,0.5384092652700778,0.7869339936114906,0.9016507055651577,0.9546028769216517,0-90 days,0.7869339936114906,0.9546028769216517,54,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-337bc1,0.5180663634098971,0.5180663634098971,0.7677399699230386,0.8880660790704833,0.946055278428649,0-90 days,0.7677399699230386,0.946055278428649,52,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-342303,0.5519423492338488,0.5519423492338488,0.7992443415899176,0.9100498913147665,0.9596971656163343,0-90 days,0.7992443415899176,0.9596971656163343,55,High,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-34d880,0.561967000094018,0.561967000094018,0.808127090993366,0.9159533340671366,0.963184786789332,0-90 days,0.808127090993366,0.963184786789332,56,High,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
