feature,coefficient,odds_ratio,interpretation
num__usage_count_qoq_delta_z,0.0,1.0,Increase churn risk
num__tickets_opened_qoq_delta_z,0.0,1.0,Increase churn risk
cat__plan_tier_Pro,0.0,1.0,Increase churn risk
cat__plan_tier_Enterprise,0.0,1.0,Increase churn risk
bin__contract_ending_soon_flag,0.0,1.0,Increase churn risk
bin__usage_drop_flag,0.0,1.0,Increase churn risk
bin__contract_missing_flag,0.0,1.0,Increase churn risk
bin__satisfaction_missing_flag,0.0,1.0,Increase churn risk
num__avg_satisfaction,0.0,1.0,Increase churn risk
num__tenure_x_tickets_opened_qoq_delta_z,0.0,1.0,Increase churn risk
num__tenure_x_usage_drop_flag,0.0,1.0,Increase churn risk
num__seats,0.0,1.0,Increase churn risk
num__seats_qoq_delta_z,0.0,1.0,Increase churn risk
cat__plan_tier_none,0.0,1.0,Increase churn risk
num__days_to_contract_end_capped,-0.0035133415063117773,0.9964928230564403,Decrease churn risk
num__arr_amount_qoq_delta_z,-0.025604179829105806,0.9747208274267948,Decrease churn risk
num__tenure,-0.03852675958316507,0.9622059561650026,Decrease churn risk
num__tenure_z,-0.038526759583165336,0.9622059561650024,Decrease churn risk
