account_id,subscription_id,start_date,end_date,end_date_inferred,next_start_date,subscription_seq,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,is_trial,auto_renew_flag,upgrade_flag,downgrade_flag,subscription_cancel_flag
A-00bed1,S-a7360b,2023-11-16,,2024-04-06,2024-04-06,1,Basic,61,1159,13908,annual,False,True,True,False,False
A-00bed1,S-3fbf9e,2024-04-06,,2024-05-06,2024-05-06,2,Pro,28,1372,16464,monthly,False,True,False,False,False
A-00bed1,S-585d4c,2024-05-06,,2024-05-14,2024-05-14,3,Enterprise,28,5572,66864,monthly,False,True,True,False,False
A-00bed1,S-76a214,2024-05-14,,2024-07-16,2024-07-16,4,Enterprise,49,9751,117012,annual,False,True,False,False,False
A-00bed1,S-64fba3,2024-07-16,,2024-07-20,2024-07-20,5,Enterprise,28,5572,66864,annual,False,True,False,False,False
A-00bed1,S-7f9ce5,2024-07-20,,2024-08-06,2024-08-06,6,Pro,28,1372,16464,monthly,False,True,False,False,False
A-00bed1,S-4a724b,2024-08-06,,2024-08-18,2024-08-18,7,Pro,28,1372,16464,annual,False,True,False,False,False
A-00bed1,S-a86344,2024-08-18,,2024-08-28,2024-08-28,8,Pro,36,1764,21168,annual,False,True,True,False,False
A-00bed1,S-f3dd83,2024-08-28,,2024-09-01,2024-09-01,9,Enterprise,28,0,0,monthly,True,True,False,False,False
A-00bed1,S-289702,2024-09-01,,,,10,Enterprise,28,5572,66864,annual,False,False,False,False,False
A-00cac8,S-2e965d,2023-09-16,,2023-12-26,2023-12-26,1,Pro,8,392,4704,monthly,False,True,False,False,False
A-00cac8,S-138c41,2023-12-26,,2024-03-03,2024-03-03,2,Basic,19,361,4332,annual,False,True,False,False,False
A-00cac8,S-c46499,2024-03-03,,2024-04-04,2024-04-04,3,Basic,8,152,1824,annual,False,True,False,False,False
A-00cac8,S-4d1ba6,2024-04-04,,2024-08-04,2024-08-04,4,Enterprise,9,0,0,annual,True,False,False,False,False
A-00cac8,S-ebfbbe,2024-08-04,,2024-08-09,2024-08-09,5,Basic,8,152,1824,monthly,False,True,False,False,False
A-00cac8,S-0bdbb3,2024-08-09,,2024-09-05,2024-09-05,6,Enterprise,39,7761,93132,monthly,False,True,False,False,False
A-00cac8,S-761518,2024-09-05,,2024-10-29,2024-10-29,7,Pro,8,392,4704,monthly,False,True,False,False,False
A-00cac8,S-dcae52,2024-10-29,,2024-12-02,2024-12-02,8,Enterprise,20,3980,47760,monthly,False,True,False,False,False
A-00cac8,S-c0ca82,2024-12-02,,,,9,Pro,19,931,11172,annual,False,True,False,True,False
A-0158bb,S-ba69a4,2024-05-30,,2024-06-28,2024-06-28,1,Basic,25,0,0,monthly,True,True,False,False,False
A-0158bb,S-66f0d0,2024-06-28,,2024-06-29,2024-06-29,2,Basic,35,665,7980,monthly,False,True,False,False,False
A-0158bb,S-b12284,2024-06-29,,2024-10-23,2024-10-23,3,Basic,9,171,2052,annual,False,False,False,False,False
A-0158bb,S-3fe1c3,2024-10-23,,2024-12-10,2024-12-10,4,Enterprise,20,0,0,monthly,True,True,False,False,False
A-0158bb,S-e05ab8,2024-12-10,,2024-12-31,2024-12-31,5,Pro,21,1029,12348,monthly,False,True,False,False,False
A-0158bb,S-fb9972,2024-12-31,,,,6,Pro,45,2205,26460,annual,False,True,True,False,False
A-016043,S-0e1d53,2024-08-02,,2024-09-11,2024-09-11,1,Basic,6,114,1368,annual,False,False,False,False,False
A-016043,S-d54349,2024-09-11,,2024-09-28,2024-09-28,2,Enterprise,20,3980,47760,annual,False,True,False,False,False
A-016043,S-769f70,2024-09-28,,2024-09-28,2024-09-28,3,Basic,13,247,2964,monthly,False,True,False,False,False
A-016043,S-0a8cff,2024-09-28,,2024-10-09,2024-10-09,4,Enterprise,12,0,0,monthly,True,True,True,False,False
A-016043,S-2c52b6,2024-10-09,,2024-10-16,2024-10-16,5,Enterprise,14,2786,33432,monthly,False,False,False,False,False
A-016043,S-6bfd97,2024-10-16,,2024-10-20,2024-10-20,6,Enterprise,59,0,0,annual,True,True,True,False,False
A-016043,S-3f0fb6,2024-10-20,,2024-11-23,2024-11-23,7,Pro,27,1323,15876,annual,False,False,False,False,False
A-016043,S-0abd10,2024-11-23,2024-12-21,2024-12-21,2024-11-27,8,Enterprise,24,4776,57312,annual,False,True,True,False,True
A-016043,S-d114e2,2024-11-27,,2024-12-02,2024-12-02,9,Basic,11,209,2508,annual,False,False,False,False,False
A-016043,S-463525,2024-12-02,,2024-12-02,2024-12-02,10,Enterprise,13,2587,31044,annual,False,True,False,False,False
A-016043,S-8985d3,2024-12-02,,,,11,Basic,26,494,5928,monthly,False,False,False,False,False
A-019782,S-b37d03,2023-06-08,,2023-08-16,2023-08-16,1,Pro,17,833,9996,annual,False,True,True,False,False
A-019782,S-7820a5,2023-08-16,,2023-08-19,2023-08-19,2,Pro,15,735,8820,monthly,False,True,False,False,False
A-019782,S-3ec165,2023-08-19,2023-11-27,2023-11-27,2023-08-28,3,Enterprise,16,3184,38208,annual,False,True,False,False,True
A-019782,S-b7f657,2023-08-28,,2023-10-26,2023-10-26,4,Enterprise,13,2587,31044,annual,False,True,False,False,False
A-019782,S-b6e44c,2023-10-26,,2024-02-22,2024-02-22,5,Basic,11,209,2508,annual,False,False,False,False,False
A-019782,S-15662a,2024-02-22,,2024-05-16,2024-05-16,6,Basic,11,0,0,annual,True,True,False,False,False
A-019782,S-3ea3af,2024-05-16,,2024-06-25,2024-06-25,7,Pro,11,539,6468,monthly,False,False,False,False,False
A-019782,S-f018e9,2024-06-25,,2024-12-04,2024-12-04,8,Basic,14,266,3192,annual,False,True,False,False,False
